2024-12-28 15:36:25 | INFO | Запрос к настройкам приложения
2024-12-28 15:36:48 | INFO | Запрос к биографии Наполеона
2024-12-28 15:36:58 | INFO | Запрос к счетчику посещений
2024-12-28 15:36:58 | DEBUG | Текущее количество посещений: 1
2024-12-28 15:37:17 | INFO | Запрос на сброс счетчика посещений
2024-12-28 15:37:17 | DEBUG | Счетчик посещений сброшен
2024-12-28 15:37:27 | INFO | Запрос к счетчику посещений
2024-12-28 15:37:27 | DEBUG | Текущее количество посещений: 1
2024-12-28 15:39:02 | INFO | Запрос к настройкам приложения
2024-12-28 15:39:40 | INFO | Запрос к журналу логов
2024-12-28 15:39:40 | ERROR | Ошибка чтения лог-файла: logs.txt
2024-12-28 15:41:27 | INFO | Запрос к счетчику посещений
2024-12-28 16:59:20.492 | DEBUG | http-nio-8080-exec-129 | Путь к файлу целей: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon-goals.html
2024-12-28 16:59:20.494 | DEBUG | http-nio-8080-exec-129 | Размер файла целей: 3824 байт
2024-12-28 16:59:20.495 | INFO | http-nio-8080-exec-129 | Контент целей успешно модифицирован
2024-12-28 16:59:20.495 | INFO | http-nio-8080-exec-129 | [2024-12-28 16:59:20] Обработка запроса завершена за 3 мс
2024-12-28 16:59:28.988 | SERVLET_REQUEST | http-nio-8080-exec-123 | Обработка запроса в сервлете SettingsServlet: IP: 0:0:0:0:0:0:0:1
2024-12-28 16:59:28.989 | INFO | http-nio-8080-exec-123 | Страница настроек успешно сформирована
2024-12-28 17:00:37.826 | INFO | http-nio-8080-exec-134 | Запрос к журналу логов
2024-12-28 17:00:37.849 | INFO | http-nio-8080-exec-134 | Журнал логов успешно отображен
2024-12-28 17:08:34.004 | SERVLET_DESTROY | Catalina-utility-2 | Уничтожение сервлета: SettingsServlet
2024-12-28 17:08:41.453 | SERVLET_INIT | http-nio-8080-exec-139 | Инициализация сервлета: LogViewerServlet
2024-12-28 17:08:41.454 | SERVLET_REQUEST | http-nio-8080-exec-139 | Обработка запроса в сервлете LogViewerServlet: IP: 0:0:0:0:0:0:0:1
2024-12-28 17:08:41.483 | INFO | http-nio-8080-exec-139 | Журнал логов успешно отображен
2024-12-28 17:09:00.405 | SERVLET_INIT | http-nio-8080-exec-141 | Инициализация сервлета: SettingsServlet
2024-12-28 17:09:00.405 | SERVLET_REQUEST | http-nio-8080-exec-141 | Обработка запроса в сервлете SettingsServlet: IP: 0:0:0:0:0:0:0:1
2024-12-28 17:09:00.406 | INFO | http-nio-8080-exec-141 | Страница настроек успешно сформирована
2024-12-28 17:09:08.217 | SERVLET_REQUEST | http-nio-8080-exec-138 | Обработка запроса в сервлете SettingsServlet: IP: 0:0:0:0:0:0:0:1
2024-12-28 17:09:08.218 | INFO | http-nio-8080-exec-138 | Страница настроек успешно сформирована
2024-12-28 17:09:17.378 | INFO | http-nio-8080-exec-136 | [2024-12-28 17:09:17] Запрос к биографии Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 17:09:17.380 | DEBUG | http-nio-8080-exec-136 | Путь к файлу биографии: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon.html
2024-12-28 17:09:17.382 | DEBUG | http-nio-8080-exec-136 | Размер файла биографии: 4607 байт
2024-12-28 17:09:17.383 | INFO | http-nio-8080-exec-136 | Контент биографии успешно модифицирован
2024-12-28 17:09:17.384 | INFO | http-nio-8080-exec-136 | [2024-12-28 17:09:17] Обработка запроса завершена за 5 мс
2024-12-28 17:09:19.209 | INFO | http-nio-8080-exec-134 | [2024-12-28 17:09:19] Запрос к целям Наполеона: IP=0:0:0:0:0:0:0:1, UserAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 17:09:19.210 | DEBUG | http-nio-8080-exec-134 | Путь к файлу целей: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon-goals.html
2024-12-28 17:09:19.213 | DEBUG | http-nio-8080-exec-134 | Размер файла целей: 3824 байт
2024-12-28 17:09:19.214 | INFO | http-nio-8080-exec-134 | Контент целей успешно модифицирован
2024-12-28 17:09:19.214 | INFO | http-nio-8080-exec-134 | [2024-12-28 17:09:19] Обработка запроса завершена за 4 мс
2024-12-28 17:09:26.956 | SERVLET_REQUEST | http-nio-8080-exec-133 | Обработка запроса в сервлете SettingsServlet: IP: 0:0:0:0:0:0:0:1
2024-12-28 17:09:26.957 | INFO | http-nio-8080-exec-133 | Страница настроек успешно сформирована
2024-12-28 17:09:33.723 | SERVLET_REQUEST | http-nio-8080-exec-140 | Обработка запроса в сервлете LogViewerServlet: IP: 0:0:0:0:0:0:0:1
2024-12-28 17:09:33.740 | INFO | http-nio-8080-exec-140 | Журнал логов успешно отображен
2024-12-28 17:13:14.501 | SERVLET_DESTROY | Catalina-utility-2 | Уничтожение сервлета: SettingsServlet
2024-12-28 17:13:14.504 | SERVLET_DESTROY | Catalina-utility-2 | Уничтожение сервлета: LogViewerServlet
2024-12-28 17:13:19.232 | SERVLET_INIT | http-nio-8080-exec-144 | Инициализация сервлета: LogViewerServlet
2024-12-28 17:13:19.233 | SERVLET_REQUEST | http-nio-8080-exec-144 | Обработка запроса в сервлете LogViewerServlet: IP: 0:0:0:0:0:0:0:1
2024-12-28 17:13:19.264 | INFO | http-nio-8080-exec-144 | Журнал логов успешно отображен
2024-12-28 17:13:31.713 | SERVLET_INIT | http-nio-8080-exec-151 | Инициализация сервлета: SettingsServlet
2024-12-28 17:13:31.714 | SERVLET_REQUEST | http-nio-8080-exec-151 | Обработка запроса в сервлете SettingsServlet: IP: 0:0:0:0:0:0:0:1
2024-12-28 17:13:31.715 | INFO | http-nio-8080-exec-151 | Страница настроек успешно сформирована
2024-12-28 17:13:38.780 | SERVLET_INIT | http-nio-8080-exec-147 | Инициализация сервлета: NapoleonBiographyServlet
2024-12-28 17:13:38.781 | SERVLET_REQUEST | http-nio-8080-exec-147 | Обработка запроса в сервлете NapoleonBiographyServlet: IP: 0:0:0:0:0:0:0:1, UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36
2024-12-28 17:13:38.783 | DEBUG | http-nio-8080-exec-147 | Путь к файлу биографии: C:\Program Files\Apache Software Foundation\Tomcat 11.0\webapps\TeachMeSkills_C32_HW_Lesson_24\napoleon.html
2024-12-28 17:13:38.786 | DEBUG | http-nio-8080-exec-147 | Размер файла биографии: 4607 байт
2024-12-28 17:13:38.788 | INFO | http-nio-8080-exec-147 | Контент биографии успешно модифицирован
2024-12-28 17:13:38.788 | INFO | http-nio-8080-exec-147 | Страница биографии Наполеона успешно обработана
2024-12-28 17:13:40.664 | SERVLET_INIT | http-nio-8080-exec-148 | Инициализация сервлета: NapoleonGoalsServlet
